x,y,z,rho_0,rho_1
0.0,10.0,10.0,5.293845e-32,1.0
0.0,10.0,11.0,3.7380667e-27,1.0
0.0,10.0,12.0,7.69897e-23,1.0
0.0,10.0,13.0,4.909494e-19,1.0
0.0,10.0,14.0,1.0334004e-15,1.0
0.0,10.0,15.0,7.6872986e-13,1.0
0.0,10.0,16.0,2.1727847e-10,1.0
0.0,10.0,17.0,2.5186981e-08,1.0
0.0,10.0,18.0,1.2971649e-06,0.9999987
0.0,10.0,19.0,3.2244443e-05,0.99996775
0.0,10.0,20.0,0.00042115236,0.99957883
0.0,10.0,21.0,0.0031489437,0.996851
0.0,10.0,22.0,0.014672492,0.9853275
0.0,10.0,23.0,0.046247773,0.9537522
0.0,10.0,24.0,0.10649691,0.89350307
0.0,10.0,25.0,0.19201684,0.80798316
